srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
2419,Obsessive/Compulsive Disorders,Prognostic,What might determine the clinical response to memantine treatment in patients with severe obsessive-compulsive disorder?,Duration of OCD symptoms,Severity of intrusive obsessions,Gender of the patient,Age at onset of OCD,Severity of intrusive obsessions,Y,Y,Y,Y,2,1
2420,Obsessive/Compulsive Disorders,Prognostic,How did the COVID-19 pandemic potentially affect the severity of obsessive-compulsive symptoms in the general population?,Varied Significantly,Increased,Remained the Same,Decreased,Increased,Y,Y,Y,Y,2,2
2421,Obsessive/Compulsive Disorders,Factoid,What is the recommended first-line psychological treatment for young individuals with obsessive-compulsive disorder (OCD)?,Medication Therapy,Exposure and Response Prevention,Cognitive-Behavioral Therapy,Psychodynamic Therapy,Cognitive-Behavioral Therapy,Y,Y,Y,Cognitive-Behavioral Therapy,3,1
2422,Obsessive/Compulsive Disorders,Factoid,What is considered the first-line evidence-based treatment approach for obsessive-compulsive disorder as per existing literature?,Medication management,Cognitive therapy,Mindfulness training,Exposure with response prevention,Exposure with response prevention,Y,Y,Y,Y,4,1
2423,Obsessive/Compulsive Disorders,Prognostic,What is the short-term risk associated with dopamine agonist therapy in patients with prolactinoma?,Higher likelihood of anxiety disorders,Worsening of OCD symptoms,Development of impulse control disorders,Increased risk of depression,Development of impulse control disorders,Y,Y,Y,Y,3,2
2424,Obsessive/Compulsive Disorders,Preventive,What behavior in males should be targeted in prevention strategies to mitigate the risk of muscle dysmorphia and associated negative outcomes?,Dietary restrictions,Unstructured exercise routines,Social media use,Body checking behaviors,Body checking behaviors,Y,Y,Y,Y,4,3
2425,Obsessive/Compulsive Disorders,Diagnostic,What emotional response is primarily associated with contamination concerns in obsessive-compulsive disorder?,Fear,Anxiety,Sadness,Disgust,Disgust,Y,Y,Y,Y,4,1
2426,Obsessive/Compulsive Disorders,Prognostic,What treatment format for obsessive-compulsive disorder (OCD) is suggested to be equally effective while conserving therapist resources?,Online CBT,Individual CBT,Psychoanalysis,Group CBT,Group CBT,Y,Y,Y,Y,4,1
2427,Obsessive/Compulsive Disorders,Diagnostic,What might the presence of higher obsessive-compulsive symptoms in smokers indicate regarding their experience during tobacco withdrawal?,Lower urge to smoke,Decreased negative affect,Increased nicotine craving,Less anxiety,Increased nicotine craving,Y,Y,Y,Y,3,4
2428,Obsessive/Compulsive Disorders,Prognostic,What is the relationship between tic severity in Tourette syndrome patients and their socioeconomic status?,Higher tic severity leads to lower socioeconomic status,Tic severity has no correlation with behavioral issues,Higher tic severity associates with higher socioeconomic status,Socioeconomic status does not affect tic severity,Higher tic severity leads to lower socioeconomic status,Y,Y,Y,Y,1,1
2429,Obsessive/Compulsive Disorders,Diagnostic,What specific alteration in functional connectivity is linked to early-onset obsessive-compulsive disorder?,Increased connectivity with cerebellum,Decreased connectivity with amygdala,Increased connectivity with prefrontal cortex,Decreased connectivity with ventral striatum,Increased connectivity with cerebellum,Y,Y,Y,Y,1,3
2430,Obsessive/Compulsive Disorders,Prognostic,How might neuroimaging parameters related to microstructural brain changes predict cognitive outcomes in patients with OCD?,By identifying physical activity levels,Through correlating with executive function deficits,Through establishing social skill enhancement,By revealing age-related decline,Through correlating with executive function deficits,Y,Y,Y,Y,2,3
2431,Obsessive/Compulsive Disorders,Preventive,What is a potential long-term implication of increased use of video conferencing on mental health?,Increased cases of body dysmorphic disorder,Enhanced self-esteem,Decreased social anxiety,Reduced need for cosmetic procedures,Increased cases of body dysmorphic disorder,Y,Y,Y,Y,1,4
2432,Obsessive/Compulsive Disorders,Preventive,What combination of treatments is often considered for patients with severe depression in the context of obsessive-compulsive disorder?,SSRI monotherapy,Psychoanalysis and medication,Behavioral therapy alone,Cognitive-behavioral therapy and SRIs,Cognitive-behavioral therapy and SRIs,Y,Y,Y,Y,4,1
2433,Obsessive/Compulsive Disorders,Factoid,Which neuropsychiatric condition showed a relative risk of 3.40 among first-degree relatives of patients with amyotrophic lateral sclerosis?,Autism,Depression,Anxiety,Schizophrenia,Schizophrenia,Y,Y,Y,Y,4,4
2434,Obsessive/Compulsive Disorders,Preventive,Which atypical antipsychotic is described as an effective treatment option for managing obsessive-compulsive symptoms and tardive dyskinesia in patients with schizo-obsessive disorder?,Clozapine,Risperidone,Olanzapine,Quetiapine,Risperidone,Y,Y,Y,Y,2,4
2435,Obsessive/Compulsive Disorders,Factoid,What is the primary purpose of the Brief Obsessive Compulsive Scale (BOCS)?,Determine risk of psychosis,Evaluate mood disorders,Assess obsessive-compulsive symptoms,Measure social anxiety,Assess obsessive-compulsive symptoms,Y,Y,Y,Y,3,1
2436,Obsessive/Compulsive Disorders,Diagnostic,Which cognitive misinterpretation is associated with the development of obsessive-compulsive symptoms in individuals with responsibility attitudes?,Emotional dysregulation,Perfectionism,Misinterpretation of intrusive thoughts,Cognitive bias,Misinterpretation of intrusive thoughts,Y,Y,Y,Y,3,4
2437,Obsessive/Compulsive Disorders,Factoid,What are the six consistent symptom clusters identified in patients with obsessive-compulsive disorder?,"Behavioral issues, cognitive distortions, socio-emotional problems, executive dysfunction, personality traits, psychosis","Contamination, sexual, high risk, impulses, symmetry, rumination","Anxiety, depression, mania, compulsion, obsessive thoughts, fear","Sleep disorders, eating disorders, self-harm, depression, anxiety, phobias","Contamination, sexual, high risk, impulses, symmetry, rumination",Y,Y,Y,Y,2,2
2438,Obsessive/Compulsive Disorders,Diagnostic,What does abnormal alpha modulation in OCD patients indicate regarding their cognitive processing abilities?,Increased cognitive flexibility,Normal cognitive performance,Impaired cognitive flexibility,High distractibility,Impaired cognitive flexibility,Y,Y,Y,Y,3,1
2439,Obsessive/Compulsive Disorders,Preventive,What therapeutic approach is suggested for addressing non-suicidal self-injury among adolescents?,Cognitive therapy,Medication,Behavioral therapy,No specific treatment exists,No specific treatment exists,Y,Y,Y,"Behavioral therapy, specifically Dialectical Behavior Therapy (DBT), has been found to be particularly effective in helping adolescents manage emotional dysregulation and reduce self-injurious behaviors.",4,2
2440,Obsessive/Compulsive Disorders,Factoid,What therapeutic approach was developed to reduce obsessive-compulsive symptoms in adolescents in Turkey?,Mindfulness Training,Exposure Therapy,Pharmacotherapy,Cognitive Behavioral Therapy-Based Psychoeducation,Cognitive Behavioral Therapy-Based Psychoeducation,Y,Y,Y,Y,4,2
2441,Obsessive/Compulsive Disorders,Diagnostic,What potential underlying condition was identified as being associated with late-onset obsessive-compulsive disorder in older patients?,Dementia with Lewy Bodies,Bipolar disorder,Anxiety disorders,Parkinsonâ€™s disease,Dementia with Lewy Bodies,Y,Y,Y,Y,1,2
2442,Obsessive/Compulsive Disorders,Diagnostic,What cognitive bias was investigated in individuals with high levels of checking tendencies in relation to attentional processes?,Attentional flexibility,Visual memory,Inhibition of return,Spatial awareness,Inhibition of return,Y,Y,Y,Y,3,4
2443,Obsessive/Compulsive Disorders,Preventive,What factor is suggested to potentially exacerbate neurocognitive performance deficits in individuals with obsessive-compulsive disorder?,Motivation,Medication adherence,Sleep quality,Stress management,Sleep quality,Sleep quality,Ans-  Sleep Quality,Sleep quality,Sleep quality,3,2
2444,Obsessive/Compulsive Disorders,Factoid,"Which neuroimaging technique has shown involvement of the insular cortex in various neuropsychiatric disorders, including obsessive-compulsive disorder?",Ultrasound,X-ray,CT scan,fMRI,fMRI,Y,Y,Y,Y,4,2
2445,Obsessive/Compulsive Disorders,Prognostic,What relationship is indicated between delayed bedtimes and the severity of obsessive-compulsive symptoms in individuals undergoing intensive treatment?,Improved treatment outcomes,Decreased anxiety symptoms,No significant change,Increased OCD symptoms,Increased OCD symptoms,Y,Y,Y,Y,4,1
2447,Obsessive/Compulsive Disorders,Preventive,What innovative therapy may offer a time-efficient treatment option for individuals with obsessive-compulsive disorder?,Metacognitive therapy,Group therapy,Pharmacotherapy,Art therapy,Metacognitive therapy,Y,Y,Y,Y,1,4
2448,Obsessive/Compulsive Disorders,Prognostic,Which subtle neurological markers may indicate a subgroup of obsessive-compulsive disorder patients likely to have a poorer response to treatment?,Total soft signs,Right-sided soft signs,Left-sided visuospatial soft signs,Bilateral soft signs,Left-sided visuospatial soft signs,Y,Y,Y,Y,3,2
2449,Obsessive/Compulsive Disorders,Prognostic,How does anhedonia relate to obsessive-compulsive disorder in individuals who experience it?,Suggests lower treatment adherence,Shows no correlation to OCD symptoms,Indicates a more severe OCD symptomology,Promotes higher smoking rates,Indicates a more severe OCD symptomology,Y,Y,Y,Y,3,1
2450,Obsessive/Compulsive Disorders,Prognostic,What is the likelihood that a symptom of OCD will recur in a patient after it has been previously experienced?,Uncertain,Low,Moderate,High,High,Y,Y,Y,Y,4,1
2451,Obsessive/Compulsive Disorders,Preventive,What treatment technique demonstrated efficacy in resolving pathological skin picking and dermatodaxia as per the case report?,Decoupling,Exposure Therapy,Cognitive Behavioral Therapy,Mindfulness Training,Decoupling,Y,Y,Y,Y,1,1
2452,Obsessive/Compulsive Disorders,Factoid,What white matter tract's volume was assessed in patients with obsessive-compulsive disorder compared to control subjects?,Fornix,Corpus callosum,Anterior limb of internal capsule,Cingulum bundle,Anterior limb of internal capsule,Y,Y,Y,Y,3,3
2453,Obsessive/Compulsive Disorders,Prognostic,How does the interaction between chronotype and time of day predict inhibitory control in obsessive-compulsive disorder patients?,Inhibitory control is better at midday,Inhibitory control worsens in the evening for morning chronotypes,Chronotype has no effect on inhibitory control,Evening symptoms are less severe for night chronotypes,Inhibitory control worsens in the evening for morning chronotypes,Y,Y,Y,Y,2,3
2454,Obsessive/Compulsive Disorders,Preventive,What therapeutic approach focuses on reducing danger ideations in patients with washing compulsions related to obsessive-compulsive disorder?,Medication Adjustment,Cognitive Behavioral Therapy,Exposure Therapy,Danger Ideation Reduction Therapy,Danger Ideation Reduction Therapy,Y,Y,Y,Y,4,1
2455,Obsessive/Compulsive Disorders,Preventive,"What intervention has shown promise in managing severe, treatment-resistant obsessive-compulsive disorder?",Psychodynamic therapy,Cognitive-behavioral therapy,Medication adjustment,Deep brain stimulation,Deep brain stimulation,Y,Y,Y,Y,4,3
2456,Obsessive/Compulsive Disorders,Preventive,What serious physical health issues were more common in patients with severe obsessive-compulsive disorder compared to general psychiatric patients?,Musculoskeletal disorders,Raised blood lipids,Respiratory diseases,Diabetes,Raised blood lipids,Y,Y,Y,Y,2,3
2457,Obsessive/Compulsive Disorders,Preventive,What psychological factors should be considered in obesity prevention programs for adolescents?,Increased dietary fiber,Increased physical activity,Genetic predisposition,Depressive symptoms,Depressive symptoms,Y,Y,Y,Y,4,4
2458,Obsessive/Compulsive Disorders,Prognostic,What underlying condition may contribute to abnormal reward-based decision-making in youth with obsessive-compulsive disorder?,Heightened stress response,Shared neurofunctional abnormalities,Increased cognitive rigidity,Decreased motivation,Shared neurofunctional abnormalities,Y,Y,Y,Y,2,3
2459,Obsessive/Compulsive Disorders,Factoid,Which class of medications is mentioned as effective for treating obsessive-compulsive skin manipulation?,Benzodiazepines,Amphetamines,Tricyclic antidepressants,Beta blockers,Tricyclic antidepressants,Y,Y,Y,Y,3,4
2460,Obsessive/Compulsive Disorders,Diagnostic,What psychological factors are suggested to mediate the relationship between a health-focused self-concept and symptoms of orthorexia nervosa?,"Weight loss goals, Dietary restrictions","Coping strategies, Social support","Low self-esteem, Anxiety about health","Fear of losing control over eating unhealthy foods, Disgust for unhealthy foods","Fear of losing control over eating unhealthy foods, Disgust for unhealthy foods",Y,Y,Y,Y,4,2
2461,Obsessive/Compulsive Disorders,Diagnostic,Which comorbidity significantly increases the severity of symptoms and avoidant behaviors in individuals with obsessive-compulsive disorder?,Posttraumatic stress disorder,Generalized anxiety disorder,Social anxiety disorder,Antisocial personality disorder,Generalized anxiety disorder,Y,Y,Y,Y,2,1
2462,Obsessive/Compulsive Disorders,Diagnostic,"Which characteristic symptoms are associated with the ""mixed"" and ""compulsive"" clusters in the compulsive-impulsive spectrum?",Social phobia symptoms,Hoarding symptoms,Anxiety disorders,Schizotypal symptoms,Schizotypal symptoms,Y,Y,Y,Y,4,3
2463,Obsessive/Compulsive Disorders,Prognostic,How might executive dysfunction be related to treatment outcomes in patients with obsessive-compulsive disorder?,It predicts poorer response to therapy,It enhances medication adherence,It leads to lower symptom severity,It has no impact on treatment outcomes,It predicts poorer response to therapy,Y,Y,Y,Y,1,2
2464,Obsessive/Compulsive Disorders,Preventive,What should be considered after thorough discussion when evaluating treatment options for psychiatric disorders like OCD?,Family Needs,Historical Practices,Scientific Understanding,Patient Lifestyle,Scientific Understanding,Y,Y,Y,Y,3,3
2466,Obsessive/Compulsive Disorders,Prognostic,How might changes in cortisol levels impact the symptoms of obsessive-compulsive disorder following deep brain stimulation treatment?,They may cause increased OCD symptoms,They may have no effect on OCD symptoms,They may decrease OCD symptoms,They may vary symptoms by individual,They may decrease OCD symptoms,Y,Y,Y,Y,3,2
2467,Obsessive/Compulsive Disorders,Prognostic,What is the primary predictor of severity in compulsive buying as indicated by the findings?,Obsessive-compulsive symptoms,Depressive symptoms,Hoarding tendencies,Sensitivity to reward,Sensitivity to reward,Y,Y,Y,Y,4,2
2468,Obsessive/Compulsive Disorders,Diagnostic,What potential subgroup of patients is suggested to experience tics and obsessive-compulsive symptoms following beta-hemolytic streptococcal infections?,Chorea Subtype,TICS Syndrome,OCD Disorder,PANDAS,PANDAS,Y,Y,Y,Y,4,3
2469,Anxiety,Prognostic,How might the gender of individuals impact their mental health outcomes in the year following a divorce?,Outcomes are influenced by societal norms,Gender does not influence outcomes,Women are always worse off,Men are always worse off,Outcomes are influenced by societal norms,Outcomes are influenced by societal norms,Ans- Outcomes are influenced by societal norms,Outcomes are influenced by societal norms,Outcomes are influenced by societal norms,1,3
2470,Obsessive/Compulsive Disorders,Preventive,Which psychological condition has been linked to prolonged prehospital delays in patients experiencing ST elevation myocardial infarction?,Anxiety,Depression,Panic disorder,Contamination obsession,Contamination obsession,Y,Y,Y,Y,4,4
2471,Obsessive/Compulsive Disorders,Diagnostic,What primary cognitive deficit is associated with the neuropsychological profile of obsessive-compulsive disorder?,Executive dysfunction,Memory impairment,Language difficulties,Emotional instability,Executive dysfunction,Y,Y,Y,Y,1,4
2472,Obsessive/Compulsive Disorders,Prognostic,What is a potential future implication of increasing awareness and early intervention in childhood OCD?,Lower treatment costs,Increased treatment rates,Higher rates of hospitalization,Decreased prevalence of OCD,Increased treatment rates,Y,Y,Y,Y,2,2
2473,Anxiety,Prognostic,How does cognitive reserve interact with sleep onset/maintenance difficulties to affect cognitive performance in older adults?,Increases vulnerability to sleep issues,Decreases cognitive decline,Increases cognitive performance,Has no effect on cognition,Decreases cognitive decline,Decreases cognitive decline,Ans-  Decreases cognitive decline,Y,Y,2,2
2474,Obsessive/Compulsive Disorders,Preventive,What intervention may help mitigate compulsive-like behaviors associated with the modulation of nicotinic acetylcholine receptors?,Sertraline,Citalopram,Desformylflustrabromine,Fluoxetine,Desformylflustrabromine,Y,Y,Y,Y,3,4
2475,Obsessive/Compulsive Disorders,Preventive,What aspect of cognitive-behavioral treatment for obsessive-compulsive disorder may enhance clinical outcomes?,Focusing solely on symptom reduction,Using medication alongside CBT,Studying processes of change,Only comparing pre- and post-assessment,Studying processes of change,Y,Y,Y,Y,3,2
2476,Obsessive/Compulsive Disorders,Factoid,Which symptom dimension in obsessive-compulsive disorder (OCD) has been associated with worse treatment outcomes after cognitive behavioral therapy (CBT)?,Sexual/Aggressive/Religious,Symmetry/Ordering,Dirtiness,Contamination,Sexual/Aggressive/Religious,Y,Y,Y,Y,1,4
2477,Obsessive/Compulsive Disorders,Diagnostic,Which neurodevelopmental condition is characterized by chronic multiple tics and often co-occurs with anxiety disorders?,Tourette Syndrome,Generalized Anxiety Disorder,Obsessive-Compulsive Disorder,Panic Disorder,Tourette Syndrome,Y,Y,Y,Y,1,2
2478,Obsessive/Compulsive Disorders,Preventive,What surgical approach is emphasized as becoming more accepted for treating refractory obsessive-compulsive disorder?,Circuit-based neurosurgical procedures,Deep brain stimulation of the thalamus,Medication adjustments,Transcranial magnetic stimulation,Circuit-based neurosurgical procedures,Y,Y,Y,Y,1,3
2479,Obsessive/Compulsive Disorders,Diagnostic,What is a significant factor that predicts suicide attempts among patients with schizophrenia and comorbid obsessive-compulsive disorder?,Age of onset,Substance abuse,Family history of mental illness,Previous history of suicidal attempts,Previous history of suicidal attempts,Y,Y,Y,Y,4,1
2480,Obsessive/Compulsive Disorders,Diagnostic,What dimensional clusters were identified in obsessive-compulsive spectrum disorders related to obsessive-compulsive disorder?,"Personality, Developmental, Learning","Somatic, Impulse control, Anxiety","Reward deficiency, Impulsivity, Somatic","Emotional, Cognitive, Behavioral","Reward deficiency, Impulsivity, Somatic",Y,Y,Y,Y,3,4
2481,Obsessive/Compulsive Disorders,Preventive,What characteristic of pediatric obsessive-compulsive symptom networks may contribute to the dysfunction observed in clinical populations?,Increased symptom categories,Higher symptom severity,Increased interconnections,Fewer connections between nodes,Fewer connections between nodes,Y,Y,Y,Y,4,3
2482,Obsessive/Compulsive Disorders,Prognostic,How do individuals with Obsessive-Compulsive Disorder process feelings of shame compared to healthy individuals?,Only in emotional responses,Differently in terms of neural processing,"Similarly, with no differences",Only in social interactions,Differently in terms of neural processing,Y,Y,Y,Y,2,2
2483,Obsessive/Compulsive Disorders,Preventive,What is a key factor to consider before starting pharmacotherapy in a child with comorbid OCD and Duchenne muscular dystrophy?,General behavior rating scales,Severity of OCD symptoms,Availability of neurology specialists,Potential for family support,Severity of OCD symptoms,Y,Y,Y,Y,2,4
2484,Obsessive/Compulsive Disorders,Prognostic,What treatment options are considered for managing Tourette syndrome in patients with comorbid obsessive compulsive disorder?,Herbal supplements,Cognitive-behavioral therapy,Stimulant medications,Antidepressants,Stimulant medications,Y,Y,Y,Cognitive-Behavioral Therapy,3,2
2485,Obsessive/Compulsive Disorders,Factoid,Which antipsychotic is noted to have a more rapid onset in therapy for SSRI-refractory obsessive-compulsive disorder?,Risperidone,Aripiprazole,Olanzapine,Quetiapine,Aripiprazole,Y,Y,Y,Aripiprazole,2,1
2486,Obsessive/Compulsive Disorders,Prognostic,"In middle-aged male rats, how does testosterone affect the development of anhedonia when administered before exposure to chronic mild stress?",Reverses its effects,Has no effect,Increases its severity,Prevents its onset,Prevents its onset,Y,Y,Y,Y,4,1
2487,Obsessive/Compulsive Disorders,Factoid,What is the primary focus of the Children's Yale-Brown Obsessive Compulsive Scale modified for pervasive developmental disorders?,Tic severity,Depression severity,Anxiety severity,Compulsion severity,Compulsion severity,Y,Y,Y,Y,4,4
2488,Obsessive/Compulsive Disorders,Diagnostic,Which behavioral characteristic distinguishes individuals with obsessive-compulsive disorder from those who engage in compulsive buying?,Heightened motivation to reduce distress,Reduced anxiety sensitivity,Compulsive behaviors manifest only during shopping,Greater financial literacy,Heightened motivation to reduce distress,Y,Y,Y,Y,1,2
2489,Obsessive/Compulsive Disorders,Preventive,What treatment approach is indicated as beneficial for adults with cleft lip and/or palate to manage their body dysmorphic disorder symptoms?,Surgery only,Psychological support,No treatment necessary,Medication without therapy,Psychological support,Y,Y,Y,Y,2,1
2490,Obsessive/Compulsive Disorders,Preventive,What is a key advantage of repetitive Transcranial Magnetic Stimulation (rTMS) compared to Deep Brain Stimulation (DBS) for OCD treatment?,Non-invasiveness,Invasiveness,Efficacy,Cost,Non-invasiveness,Y,Y,Y,Y,1,4
2491,Obsessive/Compulsive Disorders,Diagnostic,Which atypical antipsychotic has been reported to exacerbate symptoms of obsessive-compulsive disorder in patients?,Clozapine,Quetiapine,Risperidone,Olanzapine,Clozapine,Y,Y,Clozapine,Clozapine,1,2
2492,Obsessive/Compulsive Disorders,Factoid,Which aspect was identified as significantly impaired in children and adolescents with obsessive-compulsive disorder compared to screened controls?,Sleep Quality,Nutritional Status,Physical Health,Global Quality of Life,Global Quality of Life,Y,Y,Y,Y,4,4
2493,Obsessive/Compulsive Disorders,Preventive,Which approach is suggested to be most successful in implementing psychiatric neurosurgical treatments?,Only pharmacological approaches,High-risk patient protocols,Individualized patient care,Dedicated interdisciplinary teams,Dedicated interdisciplinary teams,Y,Y,Y,Y,4,4
2494,Obsessive/Compulsive Disorders,Preventive,Which personal characteristics are correlated with greater concerns about body image and a risk for developing eating disorders?,Older age,High self-esteem,Increased physical activity,Poor self-assessment of food quality,Poor self-assessment of food quality,Y,Y,Y,Y,4,1
2495,Obsessive/Compulsive Disorders,Diagnostic,What molecular change was identified as potentially linked to the pathogenesis of obsessive-compulsive disorder?,Increased dopamine receptor expression,Decreased cortisol production,Higher serotonin levels,Altered oxytocin receptor gene methylation,Altered oxytocin receptor gene methylation,Y,Y,Y,Y,4,4
2496,Obsessive/Compulsive Disorders,Prognostic,What factors are most commonly associated with worsened prognosis in patients with obsessive-compulsive disorder?,Presence of generalized anxiety disorder,History of mild depression,Low-functioning social skills,Childhood trauma exposure,Presence of generalized anxiety disorder,Y,Y,Y,Y,1,4
2497,Obsessive/Compulsive Disorders,Preventive,What therapeutic approach is highlighted for its effectiveness in treating Obsessive-Compulsive Disorder through emotional exploration?,Dynamic Psychotherapy,Mindfulness-Based Therapy,Cognitive Behavioral Therapy,Exposure Therapy,Dynamic Psychotherapy,Y,Y,Y,Y,1,4
2498,Obsessive/Compulsive Disorders,Factoid,Which type of modern ablative surgery is described as utilizing MRI-guided stereotactic techniques for treating psychiatric disorders?,Frontal lobotomy,Ectopic cingulotomy,Transorbital lobotomy,Bilateral anterior cingulotomy,Bilateral anterior cingulotomy,Y,Y,Y,Y,4,1
2499,Obsessive/Compulsive Disorders,Factoid,Which brain region showed increased activation in patients with obsessive-compulsive disorder (OCD) in response to anticipated losses?,Ventral striatum,Occipital lobe,Amygdala,Medial and superior frontal cortex,Medial and superior frontal cortex,Y,Y,Y,Y,4,4
2500,Obsessive/Compulsive Disorders,Diagnostic,What deficit in emotional awareness may significantly contribute to obsessive-compulsive symptoms and social dysfunction in OCD patients?,Social skills,Empathy,Emotional regulation,Self-awareness,Empathy,Y,Y,Y,Y,2,1
2501,Obsessive/Compulsive Disorders,Prognostic,Which outcome is more likely for female patients with Tourette Disorder compared to male patients?,Increased impairment from tics in adulthood,Higher prevalence of ADHD,Greater symptom remission with age,Earlier onset of tics,Increased impairment from tics in adulthood,Y,Y,Y,Y,1,2
2502,Obsessive/Compulsive Disorders,Prognostic,What type of therapy significantly improved symptoms in a patient with autism and OCD during an exacerbation?,High-dose SSRI and low-dose antipsychotic,Exposure response prevention,Family therapy,Cognitive behavioral therapy,High-dose SSRI and low-dose antipsychotic,Y,Y,Y,Y,1,2
2503,Obsessive/Compulsive Disorders,Preventive,What intervention might be considered to enhance understanding of the neurobiology behind obsessive-compulsive disorder (OCD)?,Further studies on DW-MRI,Medication only,Psychotherapy alone,Cognitive-behavioral therapy,Further studies on DW-MRI,Y,Y,Y,Y,1,2
2504,Obsessive/Compulsive Disorders,Diagnostic,What specific facet of attachment was identified as the most important predictor of obsessive-compulsive disorder diagnosis?,Need for approval,Discomfort with intimacy,Rejection sensitivity,Relationship preoccupation,Need for approval,Y,Y,Y,Y,1,1
2505,Obsessive/Compulsive Disorders,Factoid,Which compound has shown efficacy as an augmentation treatment for serotonin reuptake inhibitor refractory obsessive-compulsive disorder?,Fluvoxamine,Sertraline,N-acetylcysteine,Citalopram,N-acetylcysteine,Y,Y,Y,Y,3,3
2506,Obsessive/Compulsive Disorders,Factoid,What is the primary characteristic of orthorexia nervosa?,Binge eating episodes,An obsession with pure or healthy foods,Avoidance of all foods,Desire for weight loss,An obsession with pure or healthy foods,Y,Y,Y,Y,2,3
2507,Obsessive/Compulsive Disorders,Preventive,What therapeutic approach has been shown to be feasible in decreasing rigid cognitions in adolescents with anorexia nervosa?,Cognitive remediation therapy,Mindfulness-based therapy,Exposure therapy,Behavioral activation,Cognitive remediation therapy,Y,Y,Y,Y,1,3
2509,Obsessive/Compulsive Disorders,Prognostic,Which condition has been shown to predict lower tic reduction in individuals undergoing behavioral therapy for Tourette syndrome?,Post-traumatic stress disorder,Depression,Anxiety disorders,Bipolar disorder,Anxiety disorders,Y,Y,Y,Y,3,4
2510,Obsessive/Compulsive Disorders,Factoid,What is a core feature related to hoarding disorder that was assessed in both English and Spanish versions of the Hoarding Rating Scale?,Compulsive shopping,Disruption of living areas,Excessive saving behavior,Difficulty making decisions,Disruption of living areas,Y,Y,Y,Y,2,2
2511,Obsessive/Compulsive Disorders,Prognostic,What potential outcome may occur in individuals diagnosed with Gilles de la Tourette's syndrome and co-morbid obsessive-compulsive disorder?,Improved academic performance,Increased severity of depression,Decreased likelihood of substance use,Development of social anxiety,Increased severity of depression,Y,Y,Y,Y,2,2
2512,Obsessive/Compulsive Disorders,Diagnostic,Which psychosocial factor is identified as a specific predictor of an adult diagnosis of obsessive-compulsive disorder (OCD)?,Supportive family environments,Social isolation,Chronic illness,High IQ,Social isolation,Y,Y,Y,Y,2,3
2513,Obsessive/Compulsive Disorders,Diagnostic,What pattern of distribution was identified for the age at disorder onset in patients with obsessive-compulsive disorder?,Trimodal distribution,No clear distribution,Unimodal distribution,Bimodal distribution,Bimodal distribution,Y,Y,Y,Y,4,1
2514,Obsessive/Compulsive Disorders,Factoid,What were the levels of resting thalamic Glu/Cr and Glx/Cr in OCD patients with poor sleep quality compared to those with good sleep quality?,Significantly lower,No difference,Significantly higher,Significantly higher in healthy controls,Significantly lower,Y,Y,Y,Y,1,2
2515,Obsessive/Compulsive Disorders,Preventive,What intervention may help in addressing interoceptive deficits in patients with obsessive-compulsive disorder during therapy?,Cognitive restructuring,Medication adjustments,Exposure therapy,Self- and body focus interventions,Self- and body focus interventions,Y,Y,Y,Y,4,2
2516,Obsessive/Compulsive Disorders,Diagnostic,What role does dorsal striatal dopamine transmission play in the function of the cortico-striato-thalamo-cortical circuit related to obsessive-compulsive disorder?,It may be a cause of hyperactivity,It acts as a consequence of other changes,It enhances fronto-cortical metabolism,It has no effect on circuit function,It may be a cause of hyperactivity,Y,Y,Y,Y,1,3
2517,Obsessive/Compulsive Disorders,Prognostic,How does successful treatment with Fluoxetine impact the oxidative stress levels in patients with obsessive-compulsive disorder?,Has no effect on oxidative stress,Reduces oxidative stress,Increases oxidative stress,Causes oxidative stress,Reduces oxidative stress,Y,Y,Y,Y,2,2
2518,Obsessive/Compulsive Disorders,Diagnostic,Which symptoms were observed to have a positive relationship with OCD severity in pediatric patients?,Social difficulties,Communication difficulties,Restricted repetitive behavior,Somatic complaints,Restricted repetitive behavior,Y,Y,Y,Y,3,4
2519,Obsessive/Compulsive Disorders,Prognostic,How might identifying connectome-wide functional connectivity abnormalities in adolescents with obsessive-compulsive symptoms serve as an indicator for future psychiatric risks?,Decreased social interactions,Increased risk for depression,Improved coping strategies,Reduced likelihood of anxiety,Increased risk for depression,Y,Y,Y,Y,2,4
2520,Obsessive/Compulsive Disorders,Diagnostic,What compensatory mechanism do obsessively passionate individuals employ to cope with low global self-esteem while engaging in their passion activities?,Cognitive restructuring,Activity-related self-esteem,Social comparison,Harmonious passion,Activity-related self-esteem,Y,Y,Y,Y,2,4
2521,Obsessive/Compulsive Disorders,Preventive,What strategies may help individuals cope with the distress associated with the removal of self-monitoring tools in weight control programs?,Increasing physical activity,Limiting food intake,Reducing cognitive behavioral therapy,Avoiding commitment to the program,Increasing physical activity,Y,Y,Y,Y,1,3
2522,Obsessive/Compulsive Disorders,Preventive,Which component is crucial for achieving optimal outcomes in patients with obsessive-compulsive disorder who do not respond to medications?,Sole use of behavioral therapy,Incorporating exposure and ritual prevention in CBT,Psychotropic medication alone,Higher dosage of SSRIs,Incorporating exposure and ritual prevention in CBT,Y,Y,Y,Y,2,2
