id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
24568661,Obsessive/Compulsive Disorders,Factoid,What is the primary purpose of the Brief Obsessive Compulsive Scale (BOCS)?,Determine risk of psychosis,Evaluate mood disorders,Assess obsessive-compulsive symptoms,Measure social anxiety,Assess obsessive-compulsive symptoms,3,3.0
34861465,Trauma,Prognostic,How do adverse childhood experiences (ACEs) potentially influence health outcomes later in adulthood?,By increasing allostatic load,By decreasing resilience,By promoting positive health behaviors,By enhancing coping mechanisms,By increasing allostatic load,1,1.0
35982485,Trauma,Preventive,What intervention may enhance motivation and care engagement for women living with HIV who have experienced sexual trauma?,Mindfulness training,Cognitive Behavioral Therapy (CBT),Improving AIDS Care after Trauma (ImpACT+),Antiretroviral therapy (ART),Improving AIDS Care after Trauma (ImpACT+),3,4.0
36398392,Trauma,Diagnostic,What ethical challenge commonly faced by community mental health workers relates to confidentiality?,Confidentiality,Informed consent,Funding issues,Standardized treatments,Confidentiality,1,1.0
35800022,Obsessive/Compulsive Disorders,Diagnostic,What factor significantly associated with lower interoceptive sensibility in adults with chronic tic disorder indicates a relationship with obsessive-compulsive symptoms?,Exercise frequency,Duration of tic disorder,Age,Female sex,Female sex,4,1.0
25563566,Obsessive/Compulsive Disorders,Diagnostic,What complicating factors must be considered when diagnosing patients who exhibit both obsessive-compulsive and psychotic symptoms?,Comorbid substance use,Coexistence of obsessive-compulsive symptoms,Previous trauma experiences,Presence of mood disorders,Coexistence of obsessive-compulsive symptoms,2,3.0
32228235,Obsessive/Compulsive Disorders,Factoid,Which antipsychotic is noted to have a more rapid onset in therapy for SSRI-refractory obsessive-compulsive disorder?,Risperidone,Aripiprazole,Olanzapine,Quetiapine,Aripiprazole,2,3.0
22373497,Obsessive/Compulsive Disorders,Prognostic,"In middle-aged male rats, how does testosterone affect the development of anhedonia when administered before exposure to chronic mild stress?",Reverses its effects,Has no effect,Increases its severity,Prevents its onset,Prevents its onset,4,3.0
28280342,Obsessive/Compulsive Disorders,Factoid,Which aspect was identified as significantly impaired in children and adolescents with obsessive-compulsive disorder compared to screened controls?,Sleep Quality,Nutritional Status,Physical Health,Global Quality of Life,Global Quality of Life,4,1.0
19551602,Obsessive/Compulsive Disorders,Preventive,Which approach is suggested to be most successful in implementing psychiatric neurosurgical treatments?,Only pharmacological approaches,High-risk patient protocols,Individualized patient care,Dedicated interdisciplinary teams,Dedicated interdisciplinary teams,4,2.0
36429522,Obsessive/Compulsive Disorders,Preventive,Which personal characteristics are correlated with greater concerns about body image and a risk for developing eating disorders?,Older age,High self-esteem,Increased physical activity,Poor self-assessment of food quality,Poor self-assessment of food quality,4,1.0
31817558,Obsessive/Compulsive Disorders,Preventive,What therapeutic approach is highlighted for its effectiveness in treating Obsessive-Compulsive Disorder through emotional exploration?,Dynamic Psychotherapy,Mindfulness-Based Therapy,Cognitive Behavioral Therapy,Exposure Therapy,Dynamic Psychotherapy,1,3.0
34485851,Obsessive/Compulsive Disorders,Prognostic,What type of therapy significantly improved symptoms in a patient with autism and OCD during an exacerbation?,High-dose SSRI and low-dose antipsychotic,Exposure response prevention,Family therapy,Cognitive behavioral therapy,High-dose SSRI and low-dose antipsychotic,1,2.0
34592507,Obsessive/Compulsive Disorders,Diagnostic,What specific facet of attachment was identified as the most important predictor of obsessive-compulsive disorder diagnosis?,Need for approval,Discomfort with intimacy,Rejection sensitivity,Relationship preoccupation,Need for approval,1,4.0
32755933,Obsessive/Compulsive Disorders,Factoid,What is the primary characteristic of orthorexia nervosa?,Binge eating episodes,An obsession with pure or healthy foods,Avoidance of all foods,Desire for weight loss,An obsession with pure or healthy foods,2,3.0
28420211,Obsessive/Compulsive Disorders,Preventive,What therapeutic approach has been shown to be feasible in decreasing rigid cognitions in adolescents with anorexia nervosa?,Cognitive remediation therapy,Mindfulness-based therapy,Exposure therapy,Behavioral activation,Cognitive remediation therapy,1,1.0
27335527,Obsessive/Compulsive Disorders,Prognostic,What potential outcome may occur in individuals diagnosed with Gilles de la Tourette's syndrome and co-morbid obsessive-compulsive disorder?,Improved academic performance,Increased severity of depression,Decreased likelihood of substance use,Development of social anxiety,Increased severity of depression,2,1.0
32669156,Obsessive/Compulsive Disorders,Diagnostic,What is identified as a significant predictor of suicide attempt in patients with obsessive-compulsive disorder?,Low medication adherence,Understanding of the disorder,High levels of neuroticism,Previous suicide planning,Previous suicide planning,4,1.0
33796036,Obsessive/Compulsive Disorders,Diagnostic,"What diagnostic model does ICD-11 use for obsessive-compulsive personality disorder, distinguishing it from DSM-5?",Categorical,Substance-related,Dimensional,Trait-based,Dimensional,3,3.0
36593074,Obsessive/Compulsive Disorders,Preventive,What treatment may be considered for individuals with coprophagia associated with psychotic symptoms?,Mood Stabilizers,Cognitive Behavioral Therapy,Cariprazine,Antidepressants,Cariprazine,3,2.0
37483586,Obsessive/Compulsive Disorders,Factoid,Which scale is used to assess the severity of obsessive-compulsive symptoms in patients with schizophrenia?,Beck Depression Inventory,Positive and Negative Syndrome Scale,Hamilton Anxiety Rating Scale,Yale-Brown Obsessive Compulsive Scale,Yale-Brown Obsessive Compulsive Scale,4,4.0
34266301,Obsessive/Compulsive Disorders,Diagnostic,What assessment method was developed to aid in the diagnosis of secondary schizophrenia spectrum disorders?,Mood scale,Cognitive assessment,Anxiety questionnaire,Suspicion index,Suspicion index,4,2.0
24794155,Obsessive/Compulsive Disorders,Diagnostic,Which cognitive process related to memory retrieval is shown to be impaired in patients with obsessive-compulsive disorder (OCD)?,Memory recall,Chunking,Semantic memory,Retrieval-induced forgetting,Retrieval-induced forgetting,4,4.0
36294454,Obsessive/Compulsive Disorders,Diagnostic,What pathological fixation characterizes orthorexia nervosa as discussed in the literature?,Binge eating,Food addiction,Food aversion,Healthy eating,Healthy eating,4,4.0
18504048,Obsessive/Compulsive Disorders,Diagnostic,What epigenetic modification of the dopamine transporter gene is linked to decreased alcohol craving among patients undergoing withdrawal?,Hypermethylation,Phosphorylation,Acetylation,Hypomethylation,Hypermethylation,1,1.0
35154589,Obsessive/Compulsive Disorders,Prognostic,What effect did the addition of celecoxib to SSRIs have on the treatment of patients with Obsessive-Compulsive Disorder?,Improved Symptoms,No Effect,Worsened Symptoms,Increased Symptoms,Improved Symptoms,1,4.0
22361443,Obsessive/Compulsive Disorders,Factoid,Which characteristic was significantly associated with the presence of sensory phenomena in patients with obsessive-compulsive disorder?,Lower frequency of compulsions,Higher severity of contamination symptoms,History of social anxiety,Increased level of depression,Higher severity of contamination symptoms,2,3.0
35149277,Obsessive/Compulsive Disorders,Factoid,What are the seven factors identified in the Compulsive Online Shopping Scale (COSS) model?,"Salience, Mood modification, Conflict, Tolerance","Mood modification, Denial, Conflict, Tolerance","Novelty, Despair, Repetition, Withdrawal","Withdrawal, Problems, Integration, Recession","Salience, Mood modification, Conflict, Tolerance",1,1.0
33475018,Obsessive/Compulsive Disorders,Diagnostic,Which psychological predisposition is partially responsible for the relationship between negative attitudes toward same-gender orientation and obsessive-compulsive symptoms?,disgust sensitivity,fear of intimacy,self-esteem issues,anxiety sensitivity,disgust sensitivity,1,1.0
20822778,Obsessive/Compulsive Disorders,Preventive,Which aspect of treatment should be emphasized to assist compulsive hoarders in improving their quality of life and safety?,Hospitalization,Cognitive-behavioral therapy,Medications only,Psychosocial rehabilitation,Psychosocial rehabilitation,4,4.0
36028863,Obsessive/Compulsive Disorders,Preventive,What medication has potential as a treatment option for temper outbursts in adults with Prader-Willi syndrome?,Clozapine,Aripiprazole,Olanzapine,Risperidone,Aripiprazole,2,4.0
35118122,Obsessive/Compulsive Disorders,Diagnostic,What is the primary feature that distinguishes trichotillomania from other obsessive-compulsive disorders?,Recurrent hair pulling,Repetitive checking behaviors,Fear of contamination,Excessive hand washing,Recurrent hair pulling,1,1.0
29497297,Obsessive/Compulsive Disorders,Prognostic,How is the severity of binge eating disorder related to the obsessive and compulsive features as per the findings?,Inversely correlated,Positively correlated,Unrelated,Causally linked,Positively correlated,2,2.0
28388457,Obsessive/Compulsive Disorders,Factoid,What type of sleep disturbance is noted to be more prevalent in OCD patients who do not respond to rTMS treatment?,Circadian rhythm sleep disorder,Nightmares,Sleep apnea,Insomnia,Circadian rhythm sleep disorder,1,1.0
22834662,Obsessive/Compulsive Disorders,Diagnostic,What emotional burden dimension significantly correlates with greater severity of obsessive-compulsive disorder in family caregivers?,Perception of independence,Feelings of guilt,Financial strain,Physical health issues,Feelings of guilt,2,1.0
24491200,Obsessive/Compulsive Disorders,Diagnostic,Which concept is proposed as a potential predictor of obsessive-compulsive symptoms beyond harm avoidance?,Self-esteem,Perfectionism,Incompleteness,Anxiety sensitivity,Incompleteness,3,4.0
36118809,Obsessive/Compulsive Disorders,Diagnostic,What underlying psychological disorders are commonly associated with food addiction in individuals with obesity?,"Anorexia, Bulimia, Sleep Disorders","Depression, Anxiety, Impulse Control Disorders","Diabetes, Hypertension, PTSD","Bipolar Disorder, Schizophrenia, OCD","Depression, Anxiety, Impulse Control Disorders",2,2.0
16540080,Obsessive/Compulsive Disorders,Prognostic,How does individual cognitive behavioral therapy (CBT) compare to group CBT in terms of treatment response speed for obsessive-compulsive disorder (OCD)?,Group CBT shows faster response,Both show identical speeds,Individual CBT shows a more rapid response,Neither shows significant improvement,Individual CBT shows a more rapid response,3,1.0
16397403,Obsessive/Compulsive Disorders,Diagnostic,Which factor is suggested to have an association with clinical response to citalopram treatment in obsessive-compulsive disorder?,Decreased intelligence,Higher serotonin transporter occupancy,Lower tic severity,Increased impulsivity,Higher serotonin transporter occupancy,2,3.0
28088704,Anxiety,Prognostic,What type of intervention has been shown to significantly decrease anxiety symptoms in individuals with anxiety disorders?,Dietary changes,Meditation practices,Exercise,Cognitive behavioral therapy,Exercise,3,1.0
37797365,Obsessive/Compulsive Disorders,Factoid,What atypical phenomenon was reported in the cohort with anti-CASPR2-associated neurological syndromes?,Epilepsy,Obsessive-compulsive disorder,Schizophrenia,Bipolar disorder,Obsessive-compulsive disorder,2,1.0
12562569,Obsessive/Compulsive Disorders,Prognostic,How do childhood obsessive-compulsive personality traits influence the likelihood of developing eating disorders in adulthood?,No influence,Decrease risk significantly,Decrease likelihood of developing OCD,Increase risk significantly,Increase risk significantly,4,2.0
24133438,Obsessive/Compulsive Disorders,Prognostic,What type of treatment is considered for patients with OCD that is resistant to conventional therapies?,Electroconvulsive therapy,Psychoanalysis,Deep brain stimulation,Transcranial magnetic stimulation,Deep brain stimulation,3,2.0
27780337,Obsessive/Compulsive Disorders,Prognostic,"How do glutamatergic agents affect the treatment of OCD, especially in treatment-resistant cases?",They worsen symptoms,They have no effect,They are only effective in non-resistant cases,They are effective as add-on treatment,They are effective as add-on treatment,4,4.0
35320852,Obsessive/Compulsive Disorders,Diagnostic,What existential problem is associated with obsessive doubting that can lead to pathological dimensions in patients?,"""Doubting one's intelligence""",Doubting one's perceptions,"""Doubting one's social skills""","""Doubting one's physical strength""",Doubting one's perceptions,2,3.0
38901756,Obsessive/Compulsive Disorders,Diagnostic,What structural and functional white matter characteristics are associated with obsessive-compulsive disorder in comparison to healthy controls?,Increased fractional anisotropy and functional connectivity,Lower fractional anisotropy and decreased functional connectivity,Normal structural integrity and average functional connectivity,Hyperconnectivity in all brain regions,Lower fractional anisotropy and decreased functional connectivity,2,1.0
36215326,Obsessive/Compulsive Disorders,Diagnostic,"What cognitive mechanism is suggested to be impaired in OCD patients, affecting their response to Pavlovian cues?",Contextual information utilization,Visual recognition skills,Memory recall capacity,Auditory processing ability,Contextual information utilization,1,4.0
20480451,Obsessive/Compulsive Disorders,Factoid,What are the two motivational dimensions assessed by the Obsessive-Compulsive Trait Core Dimensions Questionnaire (OCTCDQ)?,"Perfectionism, harm avoidance","Fear of contamination, anxiety","Anxiety, incompleteness","Harm avoidance, incompleteness","Harm avoidance, incompleteness",4,4.0
28397684,Obsessive/Compulsive Disorders,Preventive,What is crucial for recognizing body dysmorphic disorder due to its significant associated risks?,Reputation and stigma,Low treatment compliance,Commonality of cosmetic procedures,High prevalence and risk of suicide,High prevalence and risk of suicide,4,4.0
23996219,Obsessive/Compulsive Disorders,Diagnostic,Which phenomenon was highlighted as being relevant not only to obsessive-compulsive symptoms but also to other emotional disorders?,Generalized anxiety disorder,Not just right experiences,Social anxiety symptoms,Compulsive drug-use behaviors,Not just right experiences,2,1.0
38688105,Obsessive/Compulsive Disorders,Factoid,Which psychiatric disorder is currently the only FDA-approved indication for deep brain stimulation in the United States?,Generalized anxiety disorder,Obsessive-compulsive disorder,Major depressive disorder,Bipolar disorder,Obsessive-compulsive disorder,2,4.0
23174435,Obsessive/Compulsive Disorders,Diagnostic,Which brain areas are typically associated with structural abnormalities in obsessive-compulsive disorder?,Hippocampus and amygdala,Occipital lobe and temporal cortex,Frontal eye fields and anterior cingulate cortex,Basal ganglia and brainstem,Frontal eye fields and anterior cingulate cortex,3,1.0
34487360,Obsessive/Compulsive Disorders,Factoid,What psychiatric disorder showed the strongest association with obsessive-compulsive disorder based on the meta-analyses conducted?,Substance Abuse Disorder,Bipolar Disorder,Depression,Psychosis,Depression,3,2.0
26317062,Obsessive/Compulsive Disorders,Prognostic,What primary neural mechanisms does Deep Brain Stimulation target to potentially alleviate symptoms of obsessive-compulsive disorder?,Reducing synaptic cleft activity,Increasing dopamine receptor sensitivity,Reducing hyperconnectivity between frontal and striatal areas,Enhancing amygdala response,Reducing hyperconnectivity between frontal and striatal areas,3,1.0
34197844,Obsessive/Compulsive Disorders,Diagnostic,What early adolescent exposure is associated with robust locomotor sensitization and potentially lower nicotine intake in adult female rats?,Alcohol,Caffeine,Nicotine,Cocaine,Nicotine,3,1.0
28431305,Obsessive/Compulsive Disorders,Prognostic,What is suggested to enhance the effectiveness of cognitive-behavioral family treatments for pediatric obsessive-compulsive disorder?,Reducing parental involvement,Increasing the duration of treatment,Utilizing only group therapy sessions,Including additional therapeutic modules,Including additional therapeutic modules,4,3.0
31968540,Obsessive/Compulsive Disorders,Preventive,What condition is suggested to require systematic investigation due to its relationship with occupational stress and burnout?,Post-traumatic stress disorder,Obsessive-compulsive personality disorder,Major depressive disorder,Social anxiety disorder,Obsessive-compulsive personality disorder,2,4.0
25086352,Obsessive/Compulsive Disorders,Factoid,What was one observed positive outcome for partners of patients undergoing couple-based CBT for OCD?,Reduced partner involvement,Increased OCD symptoms,Improved relationship functioning,Decreased communication skills,Improved relationship functioning,3,3.0
16682853,Obsessive/Compulsive Disorders,Diagnostic,What specific disorder is characterized by an extreme focus on the healthiness of food?,Binge eating disorder,Anorexia nervosa,Bulimia nervosa,Orthorexia nervosa,Orthorexia nervosa,4,1.0
28009473,Obsessive/Compulsive Disorders,Diagnostic,How does temporal discounting differ between individuals with anorexia nervosa and those with obsessive-compulsive disorder or social anxiety disorder?,AN individuals show less discounting,OCD individuals show less discounting,All show equal discounting,SAD individuals show less discounting,AN individuals show less discounting,1,2.0
17339096,Obsessive/Compulsive Disorders,Diagnostic,Which gender-related factors have been identified in the severity of hoarding symptoms among individuals with obsessive-compulsive disorder?,Education level,Age of onset,Family history of OCD,Bipolar disorder prevalence,Age of onset,2,4.0
20112027,Obsessive/Compulsive Disorders,Factoid,Which area of the brain exhibited a significantly reduced automated-gyrification index (A-GI) in patients with obsessive-compulsive disorder compared to healthy controls?,Left prefrontal cortex,Temporal lobe,Right prefrontal cortex,Occipital lobe,Left prefrontal cortex,1,1.0
10646617,Obsessive/Compulsive Disorders,Diagnostic,Which ego defense mechanism is negatively correlated with symptoms of depression in adolescent psychiatric patients?,Projection,Displacement,Reaction Formation,Denial,Denial,4,4.0
21931318,Obsessive/Compulsive Disorders,Factoid,Which specific brain area is identified as the most promising target for deep brain stimulation in treatment-refractory addiction?,Subthalamic nucleus,Dorsal striatum,Medial prefrontal cortex,Nucleus accumbens,Nucleus accumbens,4,2.0
24958661,Obsessive/Compulsive Disorders,Diagnostic,Which type of rejection sensitivity is more strongly associated with the severity of body dysmorphic disorder?,Social rejection sensitivity,Appearance-based rejection sensitivity,Personal rejection sensitivity,Familial rejection sensitivity,Appearance-based rejection sensitivity,2,3.0
21114948,Obsessive/Compulsive Disorders,Preventive,What treatment approach do OCD patients most prefer to mitigate their symptoms?,Only psychotherapy,Combination of medication and psychotherapy,Experimental treatments only,Only medication,Combination of medication and psychotherapy,2,4.0
26905579,Obsessive/Compulsive Disorders,Diagnostic,Which personality trait was significantly associated with antisocial functioning styles in personality disorder patients?,Agreeableness,Conscientiousness,Extraversion,Openness to experience,Conscientiousness,2,4.0
34732149,Obsessive/Compulsive Disorders,Diagnostic,Which brain region showed significantly higher spontaneous brain activity in participants with obsessive-compulsive disorder compared to those with schizophrenia?,Left prefrontal cortex,Left occipital lobe,Right angular gyrus,Right temporal lobe,Right angular gyrus,3,3.0
34724176,Anxiety,Prognostic,Which behavioral characteristic may indicate a youth's risk for developing anxiety due to higher neural activation in threatening situations?,Impulsivity,Social anxiety,Attention span,Resilience,Impulsivity,1,4.0
16860338,Obsessive/Compulsive Disorders,Prognostic,How does the presence of comorbid chronic tics influence the clinical response to fluoxetine in obsessive-compulsive disorder patients?,It improves response regardless of tics,It has no differential effect on response,It significantly reduces improvement,It solely affects anxiety levels,It has no differential effect on response,2,4.0
23015786,Obsessive/Compulsive Disorders,Diagnostic,"Which brain areas are primarily affected in obsessive-compulsive disorder, contributing to cognitive impairments such as monitoring and inhibition?","Corpus callosum, insula, occipital lobe","Thalamus, hypothalamus, cerebellum","Hippocampus, amygdala, prefrontal cortex","Anterior cingulate cortex, basal ganglia, orbito-frontal cortex","Anterior cingulate cortex, basal ganglia, orbito-frontal cortex",4,2.0
39300237,Obsessive/Compulsive Disorders,Preventive,Which psychiatric disorder's polygenic risk score has been linked to an increased risk of developing irritable bowel syndrome?,Bipolar Disorder,Obsessive-Compulsive Disorder,Schizophrenia,Major Depressive Disorder,Obsessive-Compulsive Disorder,2,1.0
26773986,Obsessive/Compulsive Disorders,Factoid,What is the main purpose of the DY-BOCS in assessing children and adolescents?,Measuring conduct disorder symptoms,Evaluating tic severity,Determining depression levels,Assessing frequency and severity of OCD symptoms,Assessing frequency and severity of OCD symptoms,4,3.0
28199910,Obsessive/Compulsive Disorders,Preventive,What factor is essential in early intervention strategies for adolescents experiencing subthreshold body dysmorphic disorder?,Increased access to mental health services,Better academic performance,Improved parental support,Enhanced physical activity,Increased access to mental health services,1,1.0
33926604,Obsessive/Compulsive Disorders,Diagnostic,What clinical factor is most strongly associated with psychosocial impairment in individuals with body-focused repetitive behaviors?,Sleep quality,Social support,Severity of picking,Family history of mental illness,Severity of picking,3,4.0
11951146,Obsessive/Compulsive Disorders,Factoid,What significant improvement was observed after treatment with Delta(9)-THC in patients with Tourette's syndrome?,Anxiety levels,Sleep patterns,Tic severity,Memory function,Tic severity,3,3.0
28152463,Obsessive/Compulsive Disorders,Diagnostic,Which symptom subtype of obsessive-compulsive disorder is most likely to impair social relationships and household functioning?,Perfectionism,Hoarding,Social anxiety,Generalized worry,Hoarding,2,1.0
35662573,Obsessive/Compulsive Disorders,Diagnostic,Which brain networks were identified as crucial for predicting the severity of compulsions in individuals diagnosed with obsessive-compulsive disorder?,Frontal lobe and occipital lobe,Parietal lobe and temporal lobe,Visual cortex and auditory cortex,Motor cortex and limbic lobe,Motor cortex and limbic lobe,4,4.0
36339694,Obsessive/Compulsive Disorders,Factoid,What is the primary emotion associated with the contamination subtype of obsessive-compulsive disorder?,Joy,Fear,Disgust,Anxiety,Disgust,3,1.0
36576218,Obsessive/Compulsive Disorders,Prognostic,How does pain intensity influence the relationship between obsessive-compulsive symptoms and problematic alcohol use among emerging adults?,Eliminates the association,Has no effect,Strengthens the association,Weakens the association,Strengthens the association,3,4.0
20965301,Obsessive/Compulsive Disorders,Diagnostic,What psychological and behavioral variables are associated with excessive exercise in individuals with anorexia nervosa?,Physical activity,Resting heart rate,Sociability,Dietary restraint,Dietary restraint,4,3.0
32451948,Obsessive/Compulsive Disorders,Preventive,What strategies can combat sports athletes implement to manage unwanted weight changes and reduce the risk of disordered eating behaviors?,Limit dietary variety,Promote emotional support,Reduce training intensity,Increase competition weight classes,Promote emotional support,2,1.0
29091827,Obsessive/Compulsive Disorders,Diagnostic,What are the observed differences in the correlations between obsessive-compulsive symptom dimensions across sexes?,No differences observed,Stronger in females,Weaker in males,Stronger in males,Stronger in males,4,1.0
21618671,Obsessive/Compulsive Disorders,Factoid,Which cognitive function was significantly impaired in patients with obsessive-compulsive disorder compared to healthy volunteers?,Motor skills,Olfactory performance,Visual recognition,Verbal memory,Olfactory performance,2,1.0
28154539,Obsessive/Compulsive Disorders,Prognostic,What potential relationship exists between recent vaccinations and the incidence of obsessive-compulsive disorder in children?,No relationship observed,Increased risk of onset,Decreased risk of onset,Temporary symptoms only,Increased risk of onset,2,1.0
19827221,Obsessive/Compulsive Disorders,Diagnostic,What comorbid conditions are frequently observed in individuals diagnosed with Tourette syndrome that influence psychopathology?,Bipolar disorder,Post-traumatic stress disorder,Autism spectrum disorder,Attention-deficit hyperactivity disorder,Attention-deficit hyperactivity disorder,4,2.0
36709558,Obsessive/Compulsive Disorders,Preventive,What intervention shows promise as a potential treatment for obsessive compulsive disorder based on the recent research findings?,Transcranial Direct Current Stimulation,Cognitive Behavioral Therapy,Exposure Therapy,Traditional Medication,Transcranial Direct Current Stimulation,1,1.0
17117338,Obsessive/Compulsive Disorders,Diagnostic,"Which syndrome is characterized by severe self-neglect and hoarding behaviors, especially in elderly patients?",Dementia syndrome,Hoarding disorder,Diogenes syndrome,Obsessive-compulsive disorder,Diogenes syndrome,3,1.0
34052783,Depression,Prognostic,What therapy is highlighted for its effectiveness in improving depressive symptoms in patients with Parkinson's disease?,Cognitive behavioral therapy,Electroconvulsive therapy,Bright light therapy,Transcranial magnetic stimulation,Cognitive Behavioral Therapy,1,4.0
31692778,Obsessive/Compulsive Disorders,Diagnostic,Which structural change is suggested as a potential biomarker for determining the etiopathogenesis of obsessive-compulsive disorder?,Higher choroidal thickness,Increased ganglion cell thickness,Decreased retinal nerve fiber layer thickness,Reduced foveal thickness,Higher choroidal thickness,1,1.0
34053814,Obsessive/Compulsive Disorders,Diagnostic,What underlying factors contribute to the higher prevalence of disordered eating behaviors among sexual minority youth compared to their non-SMY peers?,Body mass index,Age,Race/ethnicity,Birth-assigned sex,Body mass index,1,2.0
20389131,Obsessive/Compulsive Disorders,Factoid,Which antioxidant enzyme demonstrated significantly different levels between patients with obsessive-compulsive disorder and healthy controls?,Catalase,Superoxide dismutase,Peroxiredoxin,Glutathione peroxidase,Superoxide dismutase,2,1.0
30253268,Obsessive/Compulsive Disorders,Diagnostic,Which psychiatric disorders were commonly associated with binge eating disorder in bariatric surgery candidates?,Anxiety and PTSD,Substance use and efficacy,Bipolar and obsessive-compulsive disorder,ADHD and depression,Bipolar and obsessive-compulsive disorder,3,1.0
30667049,Obsessive/Compulsive Disorders,Preventive,What treatment intervention may be a viable option for patients with grooming disorders who have failed prior psychologic or pharmacologic treatment?,N-acetylcysteine,Antipsychotics,Psychotherapy,Selective serotonin reuptake inhibitors,N-acetylcysteine,1,1.0
34028895,Obsessive/Compulsive Disorders,Preventive,What compound was tested for its ability to reduce addiction-like behavior towards high-fat high-sugar foods in diet-induced obese rats?,Caffeine,Sodium chloride,N-acetylcysteine,Aspirin,N-acetylcysteine,3,1.0
22176953,Obsessive/Compulsive Disorders,Diagnostic,What factor was identified as a significant determinant of burden on caregivers of adults with obsessive-compulsive disorder (OCD)?,Socioeconomic status,Duration of caregiving,Severity of OCD symptoms,Age of the caregiver,Severity of OCD symptoms,3,4.0
19815296,Obsessive/Compulsive Disorders,Factoid,"Which neurological disorder shares phenomenological features with obsessive-compulsive disorders, particularly in repetitive behaviors?",Bipolar Disorder,Schizophrenia,Anxiety Disorders,Autism,Autism,4,3.0
14757333,Depression,Prognostic,What factors related to psychotic patients may predict an increased risk of suicidality?,Family history of mental illness,Medication adherence and social support,Insight into illness and treatment duration,Physical health and lifestyle choices,Insight into illness and treatment duration,3,4.0
16291538,Obsessive/Compulsive Disorders,Preventive,What intervention may improve access to treatment for individuals with obsessive-compulsive spectrum disorders in rural areas?,Support groups,Telephone-administered cognitive behaviour therapy,In-person therapy,Pharmacological treatment,Telephone-administered cognitive behaviour therapy,2,4.0
23950745,Obsessive/Compulsive Disorders,Diagnostic,What pharmacological factor is suggested to potentially aggravate or induce obsessive-compulsive symptoms in patients with schizophrenia?,Clozapine,Risperidone,Quetiapine,Olanzapine,Clozapine,1,1.0
31421234,Obsessive/Compulsive Disorders,Factoid,Which symptom dimension of obsessive-compulsive disorder is identified as a highly central node in the network structure among children?,Ordering,Hoarding,Washing,Doubting/checking,Doubting/checking,4,3.0
30850318,Obsessive/Compulsive Disorders,Preventive,What is a key area of interest for improving the management of obsessive-compulsive disorder as per the clinical practice guideline?,Social support networks,Duration of treatment,Latest technological advancements,Dietary interventions,Duration of treatment,2,3.0
35597999,Obsessive/Compulsive Disorders,Diagnostic,What dynamic relationship was identified between obsessive-compulsive symptoms and difficulties in emotion regulation during the COVID-19 pandemic?,Bidirectional and temporally significant,Irrelevant to mental health,Only affects sleep quality,Unidirectional with no correlation,Bidirectional and temporally significant,1,3.0
39431164,Obsessive/Compulsive Disorders,Factoid,What cognitive vulnerability factor is suggested to have a robust association with obsessive-compulsive disorder symptoms?,Hypervigilance,Intolerance of Uncertainty,Cognitive Dissonance,Social Anxiety,Intolerance of Uncertainty,2,3.0
35831831,Obsessive/Compulsive Disorders,Prognostic,What does the belief in determinism relate to in individuals with obsessive-compulsive disorder (OCD)?,Shorter duration of illness,Lower strength of belief in free will,Increased feelings of control,Improved symptom severity,Lower strength of belief in free will,2,1.0
11841128,Obsessive/Compulsive Disorders,Diagnostic,What autoimmune response is suggested to potentially contribute to the development of pediatric obsessive-compulsive disorder?,Antibacterial antibodies,Antihistamine antibodies,Antinuclear antibodies,Antistreptococcal antibodies,Antistreptococcal antibodies,4,4.0
31988201,Obsessive/Compulsive Disorders,Prognostic,What type of neurotransmission is suggested to have a role in alcohol dependence as indicated in the abstract?,Serotonergic transmission,Cholinergic transmission,GABAergic transmission,Dopaminergic transmission,GABAergic transmission,3,1.0
25875222,Obsessive/Compulsive Disorders,Factoid,What psychological factors were associated with worsening levels of suicidality in individuals with obsessive compulsive disorder (OCD)?,Substance abuse,Lower educational attainment,Higher socioeconomic status,Comorbid anxiety,Comorbid anxiety,4,1.0
37554049,Obsessive/Compulsive Disorders,Diagnostic,Which clinical features are most relevant to the presence of mental rituals in patients with obsessive-compulsive disorder?,Presence of eating disorders and gender,Current medication use and marital status,Sensory phenomena and absence of suicidal ideation,Lifetime anxiety disorders and age,Sensory phenomena and absence of suicidal ideation,3,1.0
24171326,Obsessive/Compulsive Disorders,Diagnostic,What type of childhood experiences were investigated for their association with dissociative symptoms in OCD patients?,Childhood trauma events,Infrequent social interactions,Childhood emotional neglect,Low academic performance,Childhood trauma events,1,4.0
24371793,Obsessive/Compulsive Disorders,Diagnostic,"Which cognitive bias, commonly associated with obsessive-compulsive disorder, involves the belief that thinking about a negative event can increase its likelihood?",Causal attribution,Likelihood thought-action fusion,Availability heuristic,Confirmation bias,Likelihood thought-action fusion,2,1.0
25681579,Obsessive/Compulsive Disorders,Factoid,Which aspect of distress intolerance (DI) was notably affected by the computerized intervention in individuals with high DI?,No change in neutralization behavior,Increase in anxious reactivity,Reduction in self-reported DI,Increase in urges to neutralize,Reduction in self-reported DI,3,1.0
21925643,Obsessive/Compulsive Disorders,Preventive,What treatment method may enhance access to care for individuals with hoarding disorder while reducing clinician burden?,Individual therapy with home visits,Family therapy sessions,Pharmacotherapy alone,Group cognitive-behavioral therapy,Group cognitive-behavioral therapy,4,2.0
